display_name,location,date,bird_count,detect_high_conf,avg_q_score,refined_label,current_label,top_label,top_confidence,top_5_predictions
IMG_8707.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:01:32,1,0.9988886713981628,4.828,Common Greenshank,Common Greenshank,Common Greenshank,0.48,Common Greenshank (47.98%) | Marsh Sandpiper (15.72%) | Green Sandpiper (3.15%) | Streak-throated Swallow (0.89%) | Indian Cormorant (0.85%)
IMG_8708.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:01:34,1,0.9994773268699646,6.155,,Manual: Common Greenshank,Common Redshank,0.141,Common Redshank (14.10%) | Lesser Black-backed Gull (3.03%) | Common Greenshank (2.30%) | Indian Skimmer (2.01%) | Black-crowned Night Heron (1.83%)
IMG_8711.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:02:13,4,0.998324453830719,7.711,,,,0,
IMG_8712.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:02:21,4,0.9479435086250305,8.055,,,,0,
IMG_8714.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:03:48,6,0.9850800633430481,6.95,,,,0,
IMG_8715.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:03:49,4,0.9978607296943665,6.773,,,,0,
IMG_8716.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:04:12,6,0.9984890222549438,9.624,,,,0,
IMG_8717.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:05:30,1,0.9996168613433838,7.096,,Manual: Little Egret,Great Egret,0.145,Great Egret (14.52%) | Little Egret (7.88%) | Western Reef Heron (4.67%) | Medium Egret (3.43%) | Eurasian Spoonbill (2.18%)
IMG_8718.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:05:43,2,0.998783528804779,5.355,,,,0,
IMG_8719.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:12:36,1,0.9994031190872192,6.045,Great Egret,Great Egret,Great Egret,0.551,Great Egret (55.06%) | Little Egret (9.84%) | Black-headed Ibis (2.66%) | Medium Egret (1.40%) | Eurasian Spoonbill (1.01%)
IMG_8720.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:12:44,3,0.9993822574615479,6.722,,,,0,
IMG_8722.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:14:13,12,0.8883957266807556,7.991,,,,0,
IMG_8726.JPG,No GPS Data,2026-04-05 19:15:22,0,0,0.0,,Manual: Pied Kingfisher,,0,
IMG_8727.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:16:20,1,0.9994311928749084,6.182,,Manual: Indian Cormorant,Great Cormorant,0.148,Great Cormorant (14.81%) | Little Cormorant (11.32%) | Indian Cormorant (8.31%) | Common Pochard (2.50%) | Oriental Darter (1.90%)
IMG_8732.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:17:32,2,0.9985047578811646,6.553,,,,0,
IMG_8733.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:17:51,1,0.9991629123687744,7.104,Whiskered Tern,Manual: Gull-billed Tern,Whiskered Tern,0.518,Whiskered Tern (51.79%) | Gull-billed Tern (6.23%) | Common Tern (2.54%) | Lesser Crested Tern (1.64%) | Marsh Sandpiper (1.27%)
IMG_8736.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:18:02,1,0.9996271133422852,6.933,Gull-billed Tern,Gull-billed Tern,Gull-billed Tern,0.429,Gull-billed Tern (42.94%) | Slender-billed Gull (4.74%) | Lesser Crested Tern (2.00%) | Indian Spotted Eagle (1.80%) | Black-crowned Night Heron (1.37%)
IMG_8737.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:18:04,2,0.7559983134269714,8.304,,Manual: Gull-billed Tern,,0,
IMG_8738.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:18:11,2,0.9970780611038208,10.621,,,,0,
IMG_8741.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:28:10,1,0.9996076226234436,5.4,Common Greenshank,Common Greenshank,Common Greenshank,0.573,Common Greenshank (57.27%) | Marsh Sandpiper (1.23%) | Common Redshank (1.21%) | Black-winged Stilt (0.75%) | Green Sandpiper (0.68%)
IMG_8743.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:28:14,1,0.9996474981307983,5.267,Common Greenshank,Common Greenshank,Common Greenshank,0.681,Common Greenshank (68.08%) | Marsh Sandpiper (5.19%) | Wood Sandpiper (0.90%) | Common Redshank (0.51%) | Black-winged Stilt (0.50%)
IMG_8744.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:28:16,1,0.9997143149375916,5.343,Common Greenshank,Common Greenshank,Common Greenshank,0.494,Common Greenshank (49.36%) | Marsh Sandpiper (9.72%) | Common Redshank (1.16%) | Wood Sandpiper (0.76%) | Common Sandpiper (0.71%)
IMG_8745.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:28:26,3,0.9977154731750488,5.4,,,,0,
IMG_8746.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:28:28,3,0.9989635944366455,5.351,,,,0,
IMG_8747.JPG,"13.013336449342534, 80.27572921957346",2026-04-05 19:28:32,2,0.9988994598388672,5.412,,,,0,
