Place,Scientific Name,Common Name,Observations
United Kingdom,Ficedula hypoleuca,European Pied Flycatcher,591
United Kingdom,Botaurus stellaris,Eurasian Bittern,567
United Kingdom,Fringilla montifringilla,Brambling,566
United Kingdom,Perdix perdix,Gray Partridge,560
United Kingdom,Tringa erythropus,Spotted Redshank,555
United Kingdom,Bombycilla garrulus,Bohemian Waxwing,525
United Kingdom,Stercorarius skua,Great Skua,519
United Kingdom,Anser albifrons,Greater White-fronted Goose,513
United Kingdom,Pavo cristatus,Indian Peafowl,501
United Kingdom,Loxia curvirostra,Red Crossbill,475
United Kingdom,Curruca curruca,Lesser Whitethroat,474
United Kingdom,Curruca undata,Dartford Warbler,469
United Kingdom,Panurus biarmicus,Bearded Reedling,467
United Kingdom,Spatula querquedula,Garganey,458
United Kingdom,Anthus trivialis,Tree Pipit,457
United Kingdom,Ciconia ciconia,White Stork,445
United Kingdom,Scolopax rusticola,Eurasian Woodcock,443
United Kingdom,Phoenicurus ochruros,Black Redstart,439
United Kingdom,Turdus torquatus,Ring Ouzel,420
United Kingdom,Plegadis falcinellus,Glossy Ibis,404
United Kingdom,Podiceps nigricollis,Eared Grebe,399
United Kingdom,Locustella naevia,Common Grasshopper Warbler,388
United Kingdom,Melanitta nigra,Common Scoter,384
United Kingdom,Circus cyaneus,Hen Harrier,374
United Kingdom,Cygnus columbianus,Tundra Swan,364
United Kingdom,Clangula hyemalis,Long-tailed Duck,354
United Kingdom,Puffinus puffinus,Manx Shearwater,350
United Kingdom,Anser indicus,Bar-headed Goose,350
United Kingdom,Corvus cornix × corone,Hooded × Carrion Crow,336
United Kingdom,Aythya marila,Greater Scaup,329
United Kingdom,Hydrocoloeus minutus,Little Gull,323
United Kingdom,Sternula albifrons,Little Tern,313
United Kingdom,Luscinia megarhynchos,Common Nightingale,305
United Kingdom,Poecile montanus,Willow Tit,304
United Kingdom,Linaria flavirostris,Twite,303
United Kingdom,Stercorarius parasiticus,Parasitic Jaeger,292
United Kingdom,Lymnocryptes minimus,Jack Snipe,287
United Kingdom,Mergellus albellus,Smew,286
United Kingdom,Tringa glareola,Wood Sandpiper,284
United Kingdom,Calidris ferruginea,Curlew Sandpiper,265
United Kingdom,Coccothraustes coccothraustes,Hawfinch,247
United Kingdom,Calidris minuta,Little Stint,244
United Kingdom,Emberiza cirlus,Cirl Bunting,240
United Kingdom,Lullula arborea,Woodlark,234
United Kingdom,Larus michahellis,Yellow-legged Gull,233
United Kingdom,Numida meleagris,Helmeted Guineafowl,232
United Kingdom,Podiceps auritus,Horned Grebe,223
United Kingdom,Falco columbarius,Merlin,223
United Kingdom,Lyrurus tetrix,Black Grouse,220
United Kingdom,Caprimulgus europaeus,Eurasian Nightjar,219
United Kingdom,Aythya collaris,Ring-necked Duck,217
United Kingdom,Asio otus,Long-eared Owl,205
United Kingdom,Anser caerulescens,Snow Goose,203
United Kingdom,Lagopus muta,Rock Ptarmigan,197
United Kingdom,Tadorna ferruginea,Ruddy Shelduck,197
United Kingdom,Streptopelia turtur,European Turtle-Dove,185
United Kingdom,Gavia arctica,Arctic Loon,182
United Kingdom,Aquila chrysaetos,Golden Eagle,169
United Kingdom,Anser serrirostris,Tundra Bean Goose,165
United Kingdom,Himantopus himantopus,Black-winged Stilt,157
United Kingdom,Phylloscopus sibilatrix,Wood Warbler,154
United Kingdom,Anser cygnoides,Swan Goose,149
United Kingdom,Anas platyrhynchos × Cairina moschata,Mallard × Muscovy Duck,147
United Kingdom,Astur gentilis,Eurasian Goshawk,138
United Kingdom,Chlidonias niger,Black Tern,137
United Kingdom,Anser anser × cygnoides,Greylag × Swan Goose,136
United Kingdom,Upupa epops,Common Hoopoe,135
United Kingdom,Phalaropus fulicarius,Red Phalarope,134
United Kingdom,Burhinus oedicnemus,Eurasian Stone-curlew,129
United Kingdom,Lanius collurio,Red-backed Shrike,127
United Kingdom,Otis tarda,Great Bustard,124
United Kingdom,Podiceps grisegena,Red-necked Grebe,118
United Kingdom,Larus cachinnans,Caspian Gull,118
United Kingdom,Phylloscopus inornatus,Yellow-browed Warbler,118
United Kingdom,Larus glaucoides,Iceland Gull,116
United Kingdom,Anthus spinoletta,Water Pipit,116
United Kingdom,Eudromias morinellus,Eurasian Dotterel,111
United Kingdom,Aix sponsa,Wood Duck,111
United Kingdom,Melanitta fusca,Velvet Scoter,111
United Kingdom,Jynx torquilla,Eurasian Wryneck,109
United Kingdom,Lanius excubitor,Great Grey Shrike,109
United Kingdom,Lophophanes cristatus,Crested Tit,103
United Kingdom,Calidris melanotos,Pectoral Sandpiper,101
United Kingdom,Eremophila alpestris,Horned Lark,101
United Kingdom,Tringa flavipes,Lesser Yellowlegs,94
United Kingdom,Phalaropus lobatus,Red-necked Phalarope,84
United Kingdom,Anser rossii,Ross's Goose,82
United Kingdom,Aythya affinis,Lesser Scaup,81
United Kingdom,Sterna dougallii,Roseate Tern,80
United Kingdom,Aythya nyroca,Ferruginous Duck,79
United Kingdom,Dryobates minor,Lesser Spotted Woodpecker,78
United Kingdom,Limnodromus scolopaceus,Long-billed Dowitcher,75
United Kingdom,Calidris temminckii,Temminck's Stint,73
United Kingdom,Larus hyperboreus,Glaucous Gull,72
United Kingdom,Luscinia svecica,Bluethroat,69
United Kingdom,Chrysolophus pictus,Golden Pheasant,67
United Kingdom,Branta ruficollis,Red-breasted Goose,60
United Kingdom,Crex crex,Corn Crake,58
United Kingdom,Gallus gallus,Red Junglefowl,58
United Kingdom,Falco vespertinus,Red-footed Falcon,58
United Kingdom,Merops apiaster,European Bee-eater,57
United Kingdom,Mareca americana,American Wigeon,56
United Kingdom,Chroicocephalus philadelphia,Bonaparte's Gull,53
United Kingdom,Pastor roseus,Rosy Starling,53
United Kingdom,Nycticorax nycticorax,Black-crowned Night Heron,52
United Kingdom,Thalassarche melanophris,Black-browed Albatross,51
United Kingdom,Lanius senator,Woodchat Shrike,50
United Kingdom,Calidris fuscicollis,White-rumped Sandpiper,48
United Kingdom,Pluvialis dominica,American Golden-Plover,48
United Kingdom,Ardea purpurea,Purple Heron,45
United Kingdom,Calcarius lapponicus,Lapland Longspur,45
United Kingdom,Coturnix coturnix,Common Quail,43
United Kingdom,Syrmaticus reevesii,Reeves's Pheasant,41
United Kingdom,Anser erythropus,Lesser White-fronted Goose,41
United Kingdom,Pernis apivorus,European Honey-buzzard,39
United Kingdom,Ficedula parva,Red-breasted Flycatcher,37
United Kingdom,Calidris subruficollis,Buff-breasted Sandpiper,37
United Kingdom,Turdus atrogularis,Black-throated Thrush,36
United Kingdom,Hydrobates pelagicus,European Storm-Petrel,35
United Kingdom,Remiz pendulinus,Eurasian Penduline-Tit,35
United Kingdom,Xema sabini,Sabine's Gull,34
United Kingdom,Anser caerulescens × indicus,Snow × Bar-headed Goose,34
United Kingdom,Tringa stagnatilis,Marsh Sandpiper,32
United Kingdom,Actitis macularius,Spotted Sandpiper,32
United Kingdom,Hydroprogne caspia,Caspian Tern,32
United Kingdom,Chlidonias leucopterus,White-winged Tern,31
United Kingdom,Gavia adamsii,Yellow-billed Loon,31
United Kingdom,Tarsiger cyanurus,Red-flanked Bluetail,31
United Kingdom,Curruca nisoria,Barred Warbler,31
United Kingdom,Vanellus leucurus,White-tailed Lapwing,30
United Kingdom,Oxyura jamaicensis,Ruddy Duck,30
United Kingdom,Larus delawarensis,Ring-billed Gull,29
United Kingdom,Circus macrourus,Pallid Harrier,28
United Kingdom,Lanius phoenicuroides,Red-tailed Shrike,28
United Kingdom,Parabuteo unicinctus,Harris's Hawk,27
United Kingdom,Sibirionetta formosa,Baikal Teal,27
United Kingdom,Callonetta leucophrys,Ringed Teal,26
United Kingdom,Anas platyrhynchos × Netta rufina,Mallard × Red-crested Pochard,26
United Kingdom,Melanitta perspicillata,Surf Scoter,25
United Kingdom,Emberiza pusilla,Little Bunting,25
United Kingdom,Alle alle,Dovekie,24
United Kingdom,Buteo lagopus,Rough-legged Hawk,24
United Kingdom,Somateria spectabilis,King Eider,24
United Kingdom,Serinus canaria,Island Canary,24
United Kingdom,Phylloscopus proregulus,Pallas's Leaf Warbler,24
United Kingdom,Anas platyrhynchos × Mareca strepera,Brewer's Duck,24
United Kingdom,Oenanthe deserti,Desert Wheatear,23
United Kingdom,Phalaropus tricolor,Wilson's Phalarope,23
United Kingdom,Acrocephalus arundinaceus,Great Reed Warbler,23
United Kingdom,Porzana porzana,Spotted Crake,22
United Kingdom,Gypaetus barbatus,Bearded Vulture,22
United Kingdom,Lophodytes cucullatus,Hooded Merganser,22
United Kingdom,Anthus richardi,Richard's Pipit,22
United Kingdom,Melopsittacus undulatus,Budgerigar,22
United Kingdom,Acrocephalus palustris,Marsh Warbler,22
United Kingdom,Sterna forsteri,Forster's Tern,21
United Kingdom,Ciconia nigra,Black Stork,20
United Kingdom,Phylloscopus ibericus,Iberian Chiffchaff,20
United Kingdom,Tetrao urogallus,Western Capercaillie,19
United Kingdom,Branta hutchinsii,Cackling Goose,19
United Kingdom,Aythya ferina × fuligula,Common Pochard × Tufted Duck,19
United Kingdom,Quiscalus mexicanus,Great-tailed Grackle,18
United Kingdom,Taeniopygia guttata,Zebra Finch,18
United Kingdom,Psittacula eupatria,Alexandrine Parakeet,18
United Kingdom,Phylloscopus fuscatus,Dusky Warbler,18
United Kingdom,Branta canadensis × leucopsis,Canada × Barnacle Goose,18
United Kingdom,Glareola pratincola,Collared Pratincole,17
United Kingdom,Dendrocygna viduata,White-faced Whistling-Duck,17
United Kingdom,Carpodacus erythrinus,Common Rosefinch,17
United Kingdom,Lanius cristatus,Brown Shrike,17
United Kingdom,Coracias garrulus,European Roller,16
United Kingdom,Stercorarius pomarinus,Pomarine Jaeger,16
United Kingdom,Rhodostethia rosea,Ross's Gull,16
United Kingdom,Bucephala albeola,Bufflehead,16
United Kingdom,Anser fabalis,Taiga Bean Goose,16
United Kingdom,Tadorna cana,South African Shelduck,16
United Kingdom,Motacilla citreola,Citrine Wagtail,16
United Kingdom,Tachymarptis melba,Alpine Swift,16
United Kingdom,Anarhynchus alexandrinus,Kentish Plover,16
United Kingdom,Calidris bairdii,Baird's Sandpiper,15
United Kingdom,Elanus caeruleus,Black-winged Kite,15
United Kingdom,Lanius isabellinus,Isabelline Shrike,15
United Kingdom,Puffinus mauretanicus,Balearic Shearwater,15
United Kingdom,Calandrella brachydactyla,Greater Short-toed Lark,15
United Kingdom,Anas acuta × Netta rufina,Northern Pintail × Red-crested Pochard,15
United Kingdom,Megaceryle alcyon,Belted Kingfisher,14
United Kingdom,Anas bahamensis,White-cheeked Pintail,14
United Kingdom,Anthus hodgsoni,Olive-backed Pipit,14
United Kingdom,Anas platyrhynchos × acuta,Mallard × Northern Pintail,14
United Kingdom,Spatula discors,Blue-winged Teal,14
United Kingdom,Limosa haemastica,Hudsonian Godwit,13
United Kingdom,Dendrocygna bicolor,Fulvous Whistling-Duck,13
United Kingdom,Motacilla tschutschensis,Eastern Yellow Wagtail,13
United Kingdom,Setophaga coronata,Yellow-rumped Warbler,13
United Kingdom,Saxicola maurus,Siberian Stonechat,13
United Kingdom,Chrysolophus amherstiae,Lady Amherst's Pheasant,12
United Kingdom,Sula leucogaster,Brown Booby,12
United Kingdom,Myiopsitta monachus,Monk Parakeet,12
United Kingdom,Chlidonias hybrida,Whiskered Tern,12
United Kingdom,Phylloscopus borealis,Arctic Warbler,12
United Kingdom,Vireo olivaceus,Red-eyed Vireo,12
United Kingdom,Anas platyrhynchos × Somateria mollissima,Mallard × Common Eider,12
United Kingdom,Mareca penelope × Spatula clypeata,Eurasian Wigeon × Northern Shoveler,12
United Kingdom,Falco eleonorae,Eleonora's Falcon,11
United Kingdom,Pluvialis fulva,Pacific Golden-Plover,11
United Kingdom,Loxia leucoptera,White-winged Crossbill,11
United Kingdom,Oenanthe isabellina,Isabelline Wheatear,11
United Kingdom,Gelochelidon nilotica,Gull-billed Tern,11
United Kingdom,Anarhynchus leschenaultii,Greater Sand-Plover,11
United Kingdom,Calidris minutilla,Least Sandpiper,10
United Kingdom,Podilymbus podiceps,Pied-billed Grebe,10
United Kingdom,Charadrius vociferus,Killdeer,10
United Kingdom,Aythya valisineria,Canvasback,10
United Kingdom,Lanius minor,Lesser Grey Shrike,10
United Kingdom,Bubo bubo,Eurasian Eagle-Owl,10
United Kingdom,Phylloscopus humei,Hume's Leaf Warbler,10
United Kingdom,Phylloscopus trochiloides,Greenish Warbler,10
United Kingdom,Botaurus minutus,Little Bittern,10
United Kingdom,Larus dominicanus,Kelp Gull,9
United Kingdom,Vanellus cinereus,Grey-headed Lapwing,9
United Kingdom,Ardeola ralloides,Squacco Heron,9
United Kingdom,Loxia pytyopsittacus,Parrot Crossbill,9
United Kingdom,Oenanthe pleschanka,Pied Wheatear,9
United Kingdom,Acrocephalus dumetorum,Blyth's Reed Warbler,9
United Kingdom,Locustella fluviatilis,River Warbler,9
United Kingdom,Melanitta deglandi,White-winged Scoter,9
United Kingdom,Leucophaeus atricilla,Laughing Gull,9
United Kingdom,Thalasseus bengalensis,Lesser Crested Tern,9
United Kingdom,Hydrobates leucorhous,Leach's Storm-Petrel,9
United Kingdom,Gavia pacifica,Pacific Loon,8
United Kingdom,Prunella montanella,Siberian Accentor,8
United Kingdom,Mimus polyglottos,Northern Mockingbird,8
United Kingdom,Parkesia noveboracensis,Northern Waterthrush,8
United Kingdom,Nymphicus hollandicus,Cockatiel,8
United Kingdom,Calonectris borealis,Cory's Shearwater,8
United Kingdom,Curruca cantillans,Eastern Subalpine Warbler,8
United Kingdom,Tadorna ferruginea × tadorna,Ruddy × Common Shelduck,8
United Kingdom,Ketupa lactea,Verreaux's Eagle-Owl,8
United Kingdom,Anser rossii × Branta leucopsis,Ross's × Barnacle Goose,8
United Kingdom,Lophura nycthemera,Silver Pheasant,7
United Kingdom,Dacelo novaeguineae,Laughing Kookaburra,7
United Kingdom,Eudocimus ruber,Scarlet Ibis,7
United Kingdom,Calidris subminuta,Long-toed Stint,7
United Kingdom,Calidris himantopus,Stilt Sandpiper,7
United Kingdom,Tringa melanoleuca,Greater Yellowlegs,7
United Kingdom,Zonotrichia albicollis,White-throated Sparrow,7
United Kingdom,Serinus serinus,European Serin,7
United Kingdom,Hippolais polyglotta,Melodious Warbler,7
United Kingdom,Locustella luscinioides,Savi's Warbler,7
United Kingdom,Thalasseus elegans,Elegant Tern,7
United Kingdom,Bubo scandiacus,Snowy Owl,7
United Kingdom,Oriolus oriolus,Eurasian Golden Oriole,7
United Kingdom,Tadorna cana × tadornoides,South African × Australian Shelduck,7
United Kingdom,Anser anser × Branta leucopsis,Graylag × Barnacle Goose,7
United Kingdom,Circus pygargus,Montagu's Harrier,6
United Kingdom,Netta peposaca,Rosy-billed Pochard,6
United Kingdom,Cisticola juncidis,Zitting Cisticola,6
United Kingdom,Turdus migratorius,American Robin,6
United Kingdom,Catharus ustulatus,Swainson's Thrush,6
United Kingdom,Monticola solitarius,Blue Rock-Thrush,6
United Kingdom,Anthus rubescens,American Pipit,6
United Kingdom,Phylloscopus schwarzi,Radde's Warbler,6
United Kingdom,Acrocephalus paludicola,Aquatic Warbler,6
United Kingdom,Acridotheres tristis,Common Myna,6
United Kingdom,Calidris falcinellus,Broad-billed Sandpiper,6
United Kingdom,Ardenna gravis,Great Shearwater,6
United Kingdom,Ardenna grisea,Sooty Shearwater,6
United Kingdom,Spatula clypeata × cyanoptera,Northern Shoveler × Cinnamon Teal,6
United Kingdom,Chrysolophus amherstiae × Chrysolophus pictus,Lady Amherst's × Golden Pheasant,6
United Kingdom,Setophaga aestiva,Northern Yellow Warbler,6
United Kingdom,Anser canagicus × Branta leucopsis,Emperor × Barnacle Goose,6
United Kingdom,Alectoris chukar,Chukar,5
United Kingdom,Calidris mauri,Western Sandpiper,5
United Kingdom,Calidris pusilla,Semipalmated Sandpiper,5
United Kingdom,Stercorarius longicaudus,Long-tailed Jaeger,5
United Kingdom,Uria lomvia,Thick-billed Murre,5
United Kingdom,Hieraaetus pennatus,Booted Eagle,5
United Kingdom,Milvus migrans,Black Kite,5
United Kingdom,Dendrocygna autumnalis,Black-bellied Whistling-Duck,5
United Kingdom,Branta sandvicensis,Hawaiian Goose,5
United Kingdom,Zonotrichia leucophrys,White-crowned Sparrow,5
United Kingdom,Emberiza hortulana,Ortolan Bunting,5
United Kingdom,Loxia scotica,Scottish Crossbill,5
United Kingdom,Lophonetta specularioides,Crested Duck,5
United Kingdom,Hippolais icterina,Icterine Warbler,5
United Kingdom,Gallinago delicata,Wilson's Snipe,5
United Kingdom,Cercotrichas galactotes,Rufous-tailed Scrub-Robin,5
United Kingdom,Turdus eunomus,Dusky Thrush,5
United Kingdom,Setophaga magnolia,Magnolia Warbler,5
United Kingdom,Porphyrio porphyrio,Western Swamphen,5
United Kingdom,Anser canagicus,Emperor Goose,5
United Kingdom,Spatula cyanoptera,Cinnamon Teal,5
United Kingdom,Curruca nana,Asian Desert Warbler,5
United Kingdom,Menelikornis leucotis,White-cheeked Turaco,5
United Kingdom,Cecropis rufula,European Red-rumped Swallow,5
United Kingdom,Coccyzus americanus,Yellow-billed Cuckoo,4
United Kingdom,Streptopelia orientalis,Oriental Turtle-Dove,4
United Kingdom,Calidris tenuirostris,Great Knot,4
United Kingdom,Xenus cinereus,Terek Sandpiper,4
United Kingdom,Pelecanus onocrotalus,Great White Pelican,4
United Kingdom,Glareola nordmanni,Black-winged Pratincole,4
United Kingdom,Butorides virescens,Green Heron,4
United Kingdom,Apus pallidus,Pallid Swift,4
United Kingdom,Anas rubripes,American Black Duck,4
United Kingdom,Anas undulata,Yellow-billed Duck,4
United Kingdom,Chenonetta jubata,Australian Wood Duck,4
United Kingdom,Corvus albus,Pied Crow,4
United Kingdom,Emberiza melanocephala,Black-headed Bunting,4
United Kingdom,Junco hyemalis,Dark-eyed Junco,4
United Kingdom,Monticola saxatilis,Rufous-tailed Rock-Thrush,4
United Kingdom,Anthus cervinus,Red-throated Pipit,4
United Kingdom,Anthus godlewskii,Blyth's Pipit,4
United Kingdom,Prunella collaris,Alpine Accentor,4
United Kingdom,Falco naumanni,Lesser Kestrel,4
United Kingdom,Phylloscopus coronatus,Eastern Crowned Warbler,4
United Kingdom,Melanitta americana,Black Scoter,4
United Kingdom,Melanitta stejnegeri,Stejneger's Scoter,4
United Kingdom,Leucophaeus pipixcan,Franklin's Gull,4
United Kingdom,Zapornia parva,Little Crake,4
United Kingdom,Chroicocephalus ridibundus × Ichthyaetus melanocephalus,Black-headed × Mediterranean Gull,4
United Kingdom,Larus smithsonianus,American Herring Gull,4
United Kingdom,Aix × Aythya,"Wood and Mandarin Ducks × Scaups, Pochards, and Allies",4
United Kingdom,Anser cygnoides × Branta canadensis,Swan Goose × Canada Goose,4
United Kingdom,Porzana carolina,Sora,3
United Kingdom,Threskiornis aethiopicus,African Sacred Ibis,3
United Kingdom,Calidris ruficollis,Red-necked Stint,3
United Kingdom,Tringa solitaria,Solitary Sandpiper,3
United Kingdom,Pagophila eburnea,Ivory Gull,3
United Kingdom,Buteo jamaicensis,Red-tailed Hawk,3
United Kingdom,Circaetus gallicus,Short-toed Snake-Eagle,3
United Kingdom,Histrionicus histrionicus,Harlequin Duck,3
United Kingdom,Melospiza melodia,Song Sparrow,3
United Kingdom,Emberiza rustica,Rustic Bunting,3
